,Summer (Dec-Feb),Winter (Jun-Aug)
Total House Load (kWh),1165.6466666666668,2154.194
Total EV Load (kWh),525.5091111109999,593.4377777776667
Total Combined Load (kWh),1691.1557777776668,2747.6317777776662
Total Generation (kWh),1077.4973333333332,826.62
Average Daily House Load (kWh),7.668728070175438,8.492223390275953
Average Daily EV Load (kWh),3.4572967836250004,2.3394393342089357
Average Daily Total Load (kWh),11.12602485380044,10.831662724484888
Average Daily Generation (kWh),7.0887982456140355,3.258685939553219
Max Daily Total Load (kWh),77.674666667,100.516
Max Daily Generation (kWh),28.558,19.89
Self-Consumption (%),39.390528198135925,54.66921561800486
Self-Sufficiency (%),32.354654975268396,15.107108873595838
EV Load Percentage (%),31.073962435416032,21.59815527601918
Days with Excess Generation,18.0,0.6666666666666666
